,train_loss_unit_degree,train_ori_loss_unit_std,test_loss,test_ori_loss
0,1.729440399147962,0.2318445018418236,3.149855315942842,0.427841178518329
1,6.798614157282074,0.9119681985253473,6.740328006504121,0.9036602578185139
2,6.653902125646929,0.8922083216922014,6.554483365931454,0.8792582901986198
3,6.351923728710695,0.8521820293641944,6.294860550892732,0.844630223677586
4,5.841129357038441,0.7848190964089281,5.820993966062853,0.7826017672172333
5,4.978243088372463,0.6723162474382679,5.116863219680953,0.6912817744154284
6,4.582494455516671,0.6216124470240485,4.578107938889193,0.6218072107943301
7,4.285899034185286,0.5818502500694317,4.320468848567441,0.5874598652204978
8,4.055385966908915,0.5505771233030587,4.247733899649404,0.577985678121694
9,3.740133947059962,0.5068900660706618,4.252947060244045,0.5766961403740878
10,3.4184091916842876,0.46175850628164516,3.615454821024046,0.4908615895298146
11,3.112256744502825,0.41963830959698384,3.6503554406096526,0.49573268320496755
12,2.8667677038723594,0.3861893458143082,3.679185634194432,0.4980536094314535
13,2.7612880494856853,0.37149642912809516,3.6184053283685453,0.49205021806411997
14,2.585730164374737,0.3475038221223952,3.670715406548106,0.4973636376659644
15,2.551592878678008,0.3429253726951347,3.491227737607921,0.4741129031684487
16,2.383906782357033,0.31999900251544866,3.5705888509102572,0.4854624266913943
17,2.34490937578374,0.3150960086298383,3.3990019893655594,0.4620603047247322
18,2.273069319212783,0.3059951398655074,3.489436423879165,0.4728335225409603
19,2.1964020896247436,0.295224517501747,3.381708407962856,0.45922895304090877
20,2.1537274975558383,0.28902270503280575,3.463286349588385,0.47046706289451085
21,2.0994353223527082,0.28198839194518477,3.4422853476403836,0.46841550069332655
22,2.0685385015364384,0.2777331767003398,3.529240169569231,0.47890690704641753
23,2.0192324555924035,0.2708735753353634,3.548117230192065,0.482029612519738
24,2.145767920382767,0.28812966998615214,3.627366257415098,0.4903130462208322
25,2.0075068906900504,0.26992845953988637,3.2885953914191455,0.4467330448301011
26,2.105608512471539,0.28253812968895126,3.340184482897509,0.4538826427846654
27,2.183743911733677,0.2919231335075762,3.3559758132564976,0.45541347778916513
28,2.1531105926803007,0.2884697533179249,3.4401455884538747,0.46788919452606265
29,2.101200303288108,0.28167906107981344,3.3790198121283685,0.4576280076748694
30,1.9669659900465222,0.26480066575130484,3.4951608448300955,0.47398273526446816
31,2.1220494855802654,0.28456292073588724,3.3373466897358166,0.45307196173864317
32,2.091535538596282,0.2811672573411432,3.2947556589160225,0.44749918093776886
